Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
1967.0,0.0,1967.0,0.0
1967.25,0.0,1967.25,0.0
1967.5,0.0,1967.5,0.0
1967.75,0.0,1967.75,0.0
1968.0,0.0,1968.0,0.0
1968.25,0.0,1968.25,0.0
1968.5,0.0,1968.5,0.0
1968.75,0.0,1968.75,0.0
1969.0,0.0,1969.0,0.0
1969.25,0.0,1969.25,0.0
1969.5,0.0,1969.5,0.0
1969.75,0.0,1969.75,0.0
1970.0,0.0,1970.0,0.0
1970.25,0.0,1970.25,0.0
1970.5,0.0,1970.5,0.0
1970.75,0.0,1970.75,0.0
1971.0,0.0,1971.0,0.0
1971.25,0.0,1971.25,0.0
1971.5,0.0,1971.5,0.0
1971.75,0.0,1971.75,0.0
1972.0,0.0,1972.0,0.0
1972.25,0.0,1972.25,0.0
1972.5,0.0,1972.5,0.0
1972.75,0.0,1972.75,0.0
1973.0,0.0,1973.0,0.0
1973.25,0.0,1973.25,0.0
1973.5,0.0,1973.5,0.0
1973.75,0.0,1973.75,0.0
1974.0,0.0,1974.0,0.0
1974.25,0.0,1974.25,0.0
1974.5,0.0,1974.5,0.0
1974.75,0.0,1974.75,0.0
1975.0,0.0,1975.0,0.0
1975.25,0.0,1975.25,0.0
1975.5,0.0,1975.5,0.0
1975.75,0.0,1975.75,0.0
1976.0,0.0,1976.0,0.0
1976.25,0.0,1976.25,0.0
1976.5,0.0,1976.5,0.0
1976.75,0.0,1976.75,0.0
1977.0,0.0,1977.0,0.0
1977.25,0.0,1977.25,0.0
1977.5,0.0,1977.5,0.0
1977.75,0.0,1977.75,0.0
1978.0,0.0,1978.0,0.0
1978.25,0.0,1978.25,0.0
1978.5,0.0,1978.5,0.0
1978.75,0.0,1978.75,0.0
1979.0,0.0,1979.0,0.0
1979.25,0.0,1979.25,0.0
1979.5,0.0,1979.5,0.0
1979.75,0.0,1979.75,0.0
1980.0,0.0,1980.0,0.0
1980.25,0.0,1980.25,0.0
1980.5,0.0,1980.5,0.0
1980.75,0.0,1980.75,0.0
1981.0,0.0,1981.0,0.0
1981.25,0.0,1981.25,0.0
1981.5,0.0,1981.5,0.0
1981.75,0.0,1981.75,0.0
1982.0,0.0,1982.0,0.0
1982.25,0.0,1982.25,0.0
1982.5,0.0,1982.5,0.0
1982.75,0.0,1982.75,0.0
1983.0,0.0,1983.0,0.0
1983.25,0.0,1983.25,0.0
1983.5,0.0,1983.5,0.0
1983.75,-0.3711,1983.75,0.0
1984.0,0.3711,1984.0,0.0
1984.25,0.0,1984.25,0.0
1984.5,0.0,1984.5,0.0
1984.75,0.0,1984.75,0.0
1985.0,0.0,1985.0,0.0
1985.25,0.0,1985.25,0.0
1985.5,0.0,1985.5,0.0
1985.75,0.0,1985.75,0.0
1986.0,0.0,1986.0,0.0
1986.25,0.0,1986.25,0.0
1986.5,0.0,1986.5,0.0
1986.75,0.0,1986.75,0.0
1987.0,0.0,1987.0,0.0
1987.25,0.0,1987.25,0.0
1987.5,0.0,1987.5,0.0
1987.75,0.0,1987.75,0.0
1988.0,0.0,1988.0,0.0
1988.25,0.0,1988.25,0.0
1988.5,0.0,1988.5,0.0
1988.75,0.0,1988.75,0.0
1989.0,0.0,1989.0,0.0
1989.25,0.0,1989.25,0.0
1989.5,0.0,1989.5,0.0
1989.75,0.0,1989.75,0.0
