intensity,lifetime,sleep_states
3.36E+05,4.27,3
3.37E+05,4.2909,3
3.37E+05,4.2808,3
3.38E+05,4.2684,3
3.41E+05,4.2781,3
5.14E+05,4.2821,3
5.39E+05,4.2876,3
5.23E+05,4.2742,3
5.17E+05,4.2751,3
5.08E+05,4.2681,3
5.10E+05,4.2768,3
5.14E+05,4.2827,3
5.07E+05,4.2749,3
5.14E+05,4.2807,3
4.99E+05,4.2677,3
4.81E+05,4.2483,3
5.00E+05,4.2695,3
4.96E+05,4.2701,3
5.01E+05,4.2768,3
4.85E+05,4.2824,3
4.90E+05,4.2895,3
4.93E+05,4.298,3
4.96E+05,4.2969,3
4.74E+05,4.2793,3
4.93E+05,4.299,3
4.98E+05,4.3003,3
4.89E+05,4.2993,3
4.99E+05,4.307,3
4.74E+05,4.2743,3
4.82E+05,4.2876,3
4.75E+05,4.2881,3
4.80E+05,4.286,3
4.93E+05,4.2967,3
4.79E+05,4.28,3
1.69E+05,4.1925,3
1.76E+05,4.2002,3
1.69E+05,4.2025,3
1.66E+05,4.1685,3
1.73E+05,4.2021,3
1.68E+05,4.2024,3
1.63E+05,4.1892,3
1.69E+05,4.205,3
1.72E+05,4.22,3
1.67E+05,4.2252,3
1.71E+05,4.2214,3
1.69E+05,4.1787,3
1.71E+05,4.2111,3
1.72E+05,4.2242,3
1.68E+05,4.2269,3
1.70E+05,4.2127,3
1.70E+05,4.2236,3
1.69E+05,4.2089,3
1.70E+05,4.1913,3
1.72E+05,4.2189,3
1.60E+05,4.2088,3
1.72E+05,4.2118,3
1.72E+05,4.222,3
1.64E+05,4.1943,3
2.89E+05,4.1993,3
3.05E+05,4.2456,3
3.17E+05,4.2725,3
3.28E+05,4.3054,3
3.31E+05,4.3352,3
3.31E+05,4.3064,3
3.27E+05,4.3006,3
3.34E+05,4.3184,3
3.36E+05,4.3114,3
3.47E+05,4.3476,3
2.37E+05,4.2165,3
2.33E+05,4.2007,3
2.20E+05,4.2038,3
2.34E+05,4.2163,3
2.42E+05,4.2242,3
2.35E+05,4.2065,3
2.27E+05,4.2133,3
2.37E+05,4.2025,3
2.35E+05,4.2114,3
2.17E+05,4.2027,3
2.24E+05,4.2024,3
2.35E+05,4.211,3
